wn,cht_q,hankel_q,sqrtx_q,fft_q,fft_q_fwhm,fft_q_peak2_div2,fft_q_peak2_div2_fwhm,n_peaks,interval_23_um_fit,q_peak23_fit,q_peak23_fit_div2
911,1.3224354410546781,1.4832242916200726,1.491403046460714,1.120000000000676,0.4611835944121495,1.4496270019811366,0.48416010602617865,4,0.1961536515914431,3.2031956867499276,1.6015978433749638
900,1.1953229194961514,1.3233865176091513,1.3308987279028786,0.8400000000000001,2.3999999999999986,1.342966337793357,0.5294246039857297,3,0.22903047715175145,2.7433839309588746,1.3716919654794373
890,1.1199302047474269,1.2594195729198447,1.2460138084239707,1.2534777055943418,0.4662216440403012,,,5,0.24724430081052395,2.5412862042044457,1.2706431021022229
880,1.0387192452871683,1.1742157970288571,1.1661208093809603,1.1735549280912825,0.5494220981941541,,,5,0.26838374501506135,2.3411199164938177,1.1705599582469088
870,0.9696547834168602,1.0833127195029113,1.0712587931519724,1.1099667452159927,0.6240723016006793,,,4,0.2982317800336488,2.1068127972379966,1.0534063986189983
860,0.8962195061299278,0.9089369606355556,0.9035170474286843,0.9576062299596787,0.7393765160448724,,,3,0.3143967681333858,1.9984891525710229,0.9992445762855114
